live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20220212_ml8th_d1,1,main,s_ml_15tnm9x,ml_emily;ml_tsumugi,,false,,,,
20220212_ml8th_d1,2,main,s_ml_0kt758q,ml_emily;ml_tsumugi,,false,,,,
20220212_ml8th_d1,3,main,s_ml_1vin8bz,ml_emily;ml_tsumugi,false,false,,,,
20220212_ml8th_d1,4,main,s_myevolution,ml_noriko;ml_elena,,false,,,,
20220212_ml8th_d1,5,main,s_sweetsweetsoul,ml_noriko;ml_elena,,false,,,,
20220212_ml8th_d1,6,main,s_performer,ml_noriko;ml_elena,,false,,,,
20220212_ml8th_d1,7,main,s_arriveyou,ml_momoko;ml_tamaki;ml_iku,,false,,,,
20220212_ml8th_d1,8,main,s_dear,ml_momoko;ml_tamaki;ml_iku,false,false,,,,
20220212_ml8th_d1,9,main,s_ml_0saqzv6,ml_momoko;ml_tamaki;ml_iku,,false,,,,
20220212_ml8th_d1,10,main,s_ml_0vyqkih,ml_rio;ml_konomi,,false,,,,
20220212_ml8th_d1,11,main,s_fraction,ml_rio;ml_konomi,false,false,,,,
20220212_ml8th_d1,12,main,s_cherrycoloredlove,ml_rio;ml_konomi,,false,,,,
20220212_ml8th_d1,13,main,s_retale,ml_megumi;ml_arisa;ml_kana,,false,,,,
20220212_ml8th_d1,14,main,s_ml_0zz42vs,ml_megumi;ml_arisa;ml_kana,false,false,,,,
20220212_ml8th_d1,15,main,s_ml_1xwvaws,ml_megumi;ml_arisa;ml_kana,,false,,,,
20220212_ml8th_d1,16,main,s_paradedamour,ml_kotoha;ml_kaori;ml_shiho;ml_matsuri,,false,,,,
20220212_ml8th_d1,17,main,s_voyage,ml_kotoha;ml_kaori;ml_shiho;ml_matsuri,,false,,,,
20220212_ml8th_d1,18,main,s_musicjourney,ml_kotoha;ml_kaori;ml_shiho;ml_matsuri,true,false,,,,
20220212_ml8th_d1,19,main,s_whitevows,ml_kotoha;ml_emily;ml_kaori;ml_shiho;ml_tsumugi;ml_matsuri,false,false,,,,
20220212_ml8th_d1,20,main,s_ml_1ilm09z,ml_megumi;ml_rio;ml_arisa;ml_konomi;ml_kana,,false,,,,
20220212_ml8th_d1,21,main,s_fruitylove,ml_momoko;ml_noriko;ml_tamaki;ml_elena;ml_iku,false,false,,,,
20220212_ml8th_d1,22,main,s_ml_0cuc0qh,ml_rio;ml_momoko;ml_emily;ml_tamaki;ml_tsumugi;ml_iku;ml_konomi,false,false,,,,
20220212_ml8th_d1,23,main,s_765as_1tpdcnf,ml_kotoha;ml_kaori;ml_megumi;ml_noriko;ml_arisa;ml_elena;ml_kana;ml_shiho;ml_matsuri,false,false,,,,
20220212_ml8th_d1,24,main,s_ml_0gr2w84,ml_emily;ml_tamaki;ml_shiho;ml_kaori;ml_elena;ml_tsumugi;ml_momoko;ml_kotoha;ml_matsuri;ml_megumi;ml_iku;ml_konomi;ml_noriko;ml_arisa;ml_rio;ml_kana,,false,,,,
20220212_ml8th_d1,25,encore,s_harmony4you,ml_emily;ml_tamaki;ml_shiho;ml_kaori;ml_elena;ml_tsumugi;ml_momoko;ml_kotoha;ml_matsuri;ml_megumi;ml_iku;ml_konomi;ml_noriko;ml_arisa;ml_rio;ml_kana,,false,,,,
20220212_ml8th_d1,26,encore,s_thankyou,ml_emily;ml_tamaki;ml_shiho;ml_kaori;ml_elena;ml_tsumugi;ml_momoko;ml_kotoha;ml_matsuri;ml_megumi;ml_iku;ml_konomi;ml_noriko;ml_arisa;ml_rio;ml_kana,,false,,,,
20220213_ml8th_d2,1,main,s_hanginthere,ml_nao;ml_minako,,false,,,,
20220213_ml8th_d2,2,main,s_ml_07h0dxn,ml_nao;ml_minako,false,false,,,,
20220213_ml8th_d2,3,main,s_superduper,ml_nao;ml_minako,,false,,,,
20220213_ml8th_d2,4,main,s_specialwonderfulsmile,ml_serika;ml_karen;ml_miya,,false,,,,
20220213_ml8th_d2,5,main,s_ml_03wi6cm,ml_serika;ml_karen;ml_miya,,false,,,,
20220213_ml8th_d2,6,main,s_ml_1uwfieh,ml_serika;ml_karen;ml_miya,false,false,,,,
20220213_ml8th_d2,7,main,s_ml_1rna1pc,ml_akane;ml_reika,,false,,,,
20220213_ml8th_d2,8,main,s_catcrossing,ml_akane;ml_reika,false,false,,,,
20220213_ml8th_d2,9,main,s_blackparty,ml_akane;ml_reika,,false,,,,
20220213_ml8th_d2,10,main,s_teatime,ml_mizuki;ml_anna;ml_subaru;ml_roco,true,false,,,,
20220213_ml8th_d2,11,main,s_mariatrap,ml_mizuki;ml_anna;ml_subaru;ml_roco,false,false,,,,
20220213_ml8th_d2,12,main,s_danslobscurit,ml_mizuki;ml_anna;ml_subaru;ml_roco,true,false,,,,
20220213_ml8th_d2,13,main,s_paradoxoflove,ml_chizuru;ml_fuka;ml_sayoko;ml_julia,true,false,,,,
20220213_ml8th_d2,14,main,s_eternalspiral,ml_chizuru;ml_fuka;ml_sayoko;ml_julia,false,false,,,,
20220213_ml8th_d2,15,main,s_ml_0qzg2os,ml_chizuru;ml_fuka;ml_sayoko;ml_julia,true,false,,,,
20220213_ml8th_d2,16,main,s_absoluterun,ml_tsubasa;ml_mirai;ml_shizuka,,false,,,,
