live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20210522_ml7th_d1,1,main,s_flyers,ml_shizuka;ml_emily;ml_reika;ml_shiho;ml_hinata;ml_kaori;ml_minako;ml_julia;ml_karen;ml_tsumugi;ml_momoko;ml_sayoko;ml_tomoka;ml_matsuri;ml_iku;ml_akane;ml_serika;ml_arisa;ml_nao,,false,,,,
20210522_ml7th_d1,2,main,s_legendgirls,ml_shizuka;ml_emily;ml_reika;ml_shiho;ml_hinata;ml_kaori;ml_minako;ml_julia;ml_karen;ml_tsumugi;ml_momoko;ml_sayoko;ml_tomoka;ml_matsuri;ml_iku;ml_akane;ml_serika;ml_arisa;ml_nao,false,false,,,,
20210522_ml7th_d1,3,main,s_ml_1he2dr6,ml_sayoko;ml_emily;ml_nao;ml_hinata;ml_reika,,false,,,,
20210522_ml7th_d1,4,main,s_ml_1xybaow,ml_tsumugi;ml_matsuri;ml_shiho;ml_iku;ml_shizuka;ml_akane,true,false,,,,
20210522_ml7th_d1,5,main,s_hello,ml_minako;ml_arisa;ml_hinata,false,false,,,,
20210522_ml7th_d1,6,main,s_ml_1hfmgp4,ml_akane;ml_reika,true,false,,,,
20210522_ml7th_d1,7,main,s_homesweetfriendship,ml_iku;ml_tomoka;ml_arisa;ml_momoko;ml_nao;ml_karen;ml_serika,,false,,,,
20210522_ml7th_d1,8,main,s_big,ml_tomoka;ml_matsuri;ml_karen;ml_akane;ml_julia;ml_tsumugi,false,false,,,,
20210522_ml7th_d1,9,main,s_goodsleepbaby,ml_momoko;ml_iku;ml_hinata;ml_kaori,false,false,,,,
20210522_ml7th_d1,10,main,s_ml_17cw6ic,ml_emily;ml_serika,true,false,,,,
20210522_ml7th_d1,11,main,s_melodyinscape,ml_minako;ml_sayoko,true,false,,,,
20210522_ml7th_d1,12,main,s_ml_0qs0m6s,ml_matsuri;ml_emily,true,false,,,,
20210522_ml7th_d1,13,main,s_flooding,ml_akane;ml_serika;ml_shizuka;ml_shiho;ml_reika,,false,,,,
20210522_ml7th_d1,14,main,s_dotheidol,ml_arisa;ml_emily;ml_tomoka;ml_shizuka;ml_karen,false,false,,,,
20210522_ml7th_d1,15,main,s_supersizelove,ml_iku;ml_akane;ml_minako;ml_matsuri,true,false,,,,
20210522_ml7th_d1,16,main,s_ml_0kv1u8y,ml_hinata;ml_julia;ml_momoko;ml_tsumugi,false,false,,,,
20210522_ml7th_d1,17,main,s_ml_1dqe84e,ml_kaori;ml_karen;ml_sayoko,true,false,,,,
20210522_ml7th_d1,18,main,s_superduper,ml_nao;ml_minako,,false,,,,
20210522_ml7th_d1,19,main,s_ml_15tnm9x,ml_tomoka;ml_emily;ml_tsumugi,,false,,,,
20210522_ml7th_d1,20,main,s_bluesymphony,ml_serika;ml_reika;ml_shiho;ml_shizuka;ml_kaori,false,false,,,,
20210522_ml7th_d1,21,main,s_ml_1s24wuz,ml_nao;ml_arisa,false,false,,,,
20210522_ml7th_d1,22,main,s_lacrima,ml_sayoko;ml_reika;ml_julia,,false,,,,
20210522_ml7th_d1,23,main,s_ml_1isjbec,ml_kaori;ml_shiho,true,false,,,,
20210522_ml7th_d1,24,main,s_ml_0trdalz,ml_julia;ml_momoko,true,false,,acoustic,,
20210522_ml7th_d1,25,main,s_ml_0n0ogsc,ml_matsuri;ml_tomoka;ml_shizuka;ml_sayoko;ml_serika;ml_hinata;ml_kaori,false,false,,,,
20210522_ml7th_d1,26,main,s_standingalive,ml_momoko;ml_tsumugi;ml_shiho;ml_iku;ml_karen;ml_arisa;ml_julia;ml_nao;ml_minako,,false,,,,
20210522_ml7th_d1,27,main,s_braveharmony,ml_shizuka;ml_emily;ml_reika;ml_shiho;ml_hinata;ml_kaori;ml_minako;ml_julia;ml_karen;ml_tsumugi;ml_momoko;ml_sayoko;ml_tomoka;ml_matsuri;ml_iku;ml_akane;ml_serika;ml_arisa;ml_nao,,false,,,,
20210522_ml7th_d1,28,encore,s_crossover_14klxz3,ml_shizuka;ml_emily;ml_reika;ml_shiho;ml_hinata;ml_kaori;ml_minako;ml_julia;ml_karen;ml_tsumugi;ml_momoko;ml_sayoko;ml_tomoka;ml_matsuri;ml_iku;ml_akane;ml_serika;ml_arisa;ml_nao,,false,,,,
20210522_ml7th_d1,29,encore,s_glowmap,ml_shizuka;ml_emily;ml_reika;ml_shiho;ml_hinata;ml_kaori;ml_minako;ml_julia;ml_karen;ml_tsumugi;ml_momoko;ml_sayoko;ml_tomoka;ml_matsuri;ml_iku;ml_akane;ml_serika;ml_arisa;ml_nao,,false,,,,
20210522_ml7th_d1,30,encore,s_thankyou,ml_shizuka;ml_emily;ml_reika;ml_shiho;ml_hinata;ml_kaori;ml_minako;ml_julia;ml_karen;ml_tsumugi;ml_momoko;ml_sayoko;ml_tomoka;ml_matsuri;ml_iku;ml_akane;ml_serika;ml_arisa;ml_nao,,false,,,,
20210523_ml7th_d2,1,main,s_flyers,ml_mirai;ml_tsubasa;ml_tamaki;ml_umi;ml_elena;ml_kotoha;ml_megumi;ml_fuka;ml_yuriko;ml_konomi;ml_noriko;ml_mizuki;ml_miya;ml_anna;ml_rio;ml_kana;ml_roco,,false,,,,
20210523_ml7th_d2,2,main,s_ml_0ilaprr,ml_mirai;ml_tsubasa;ml_tamaki;ml_umi;ml_elena;ml_kotoha;ml_megumi;ml_fuka;ml_yuriko;ml_konomi;ml_noriko;ml_mizuki;ml_miya;ml_anna;ml_rio;ml_kana;ml_roco,,false,,,,
20210523_ml7th_d2,3,main,s_ml_138a9hc,ml_kana;ml_tamaki;ml_roco;ml_konomi,false,false,,,,
