live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20260820_gk_shirube_fukui_d1,1,main,s_gk_183jiw9,gk_ume,true,false,,,,
20260820_gk_shirube_fukui_d1,2,main,s_wakeup,gk_lilja,true,false,,,,
20260820_gk_shirube_fukui_d1,3,main,s_36ubu,gk_rinami,true,false,,,,
20260820_gk_shirube_fukui_d1,4,main,s_feeljeweldream,gk_mao,true,false,,,,
20260820_gk_shirube_fukui_d1,5,main,s_gk_1ykkvsd,gk_lilja;gk_mao;gk_ume;gk_rinami,false,false,,,,
20260820_gk_shirube_fukui_d1,6,main,s_atmosphere,gk_lilja,true,false,,,,
20260820_gk_shirube_fukui_d1,7,main,s_marbleheart,gk_rinami,true,false,,,,
20260820_gk_shirube_fukui_d1,8,main,s_therollingriceball,gk_ume,true,false,,,,
20260820_gk_shirube_fukui_d1,9,main,s_lespoir,gk_mao,true,true,,,,
20260820_gk_shirube_fukui_d1,10,main,s_gk_0yhk89z,gk_rinami;gk_mao;gk_lilja;gk_ume,false,false,,,,
20260820_gk_shirube_fukui_d1,11,main,s_clumsytrick,gk_rinami,true,false,,,,
20260820_gk_shirube_fukui_d1,12,main,s_sweetmagic,gk_mao,true,false,,,,
20260820_gk_shirube_fukui_d1,13,main,s_fragileheart,gk_lilja,true,false,,,,
20260820_gk_shirube_fukui_d1,14,main,s_gk_1i0rnlv,gk_ume,true,true,,,,
20260820_gk_shirube_fukui_d1,15,main,s_gk_07xp7is,gk_lilja;gk_mao;gk_rinami;gk_ume,,false,,,,
20260820_gk_shirube_fukui_d1,16,encore,s_gk_1fl5h5f,gk_rinami;gk_ume;gk_lilja;gk_mao,false,false,,,,
20260820_gk_shirube_fukui_d1,17,encore,s_campusmode,gk_lilja;gk_mao;gk_rinami;gk_ume,false,false,,,,
20260821_gk_shirube_fukui_d2,1,main,s_gk_05la78b,gk_lilja,true,false,,,,
20260821_gk_shirube_fukui_d2,2,main,s_luv,gk_rinami,true,false,,,,
20260821_gk_shirube_fukui_d2,3,main,s_fluorite,gk_mao,true,false,,,,
20260821_gk_shirube_fukui_d2,4,main,s_gk_0wv5cck,gk_ume,true,false,,,,
20260821_gk_shirube_fukui_d2,5,main,s_gk_1ykkvsd,gk_lilja;gk_mao;gk_ume;gk_rinami,false,false,,,,
20260821_gk_shirube_fukui_d2,6,main,s_topsecret,gk_mao,true,false,,,,
20260821_gk_shirube_fukui_d2,7,main,s_gk_1youj9a,gk_ume,true,false,,,,
20260821_gk_shirube_fukui_d2,8,main,s_gk_041n8oo,gk_rinami,true,false,,,,
20260821_gk_shirube_fukui_d2,9,main,s_gk_0zkgkdr,gk_lilja,true,true,,,,
20260821_gk_shirube_fukui_d2,10,main,s_gk_0yhk89z,gk_rinami;gk_mao;gk_lilja;gk_ume,false,false,,,,
20260821_gk_shirube_fukui_d2,11,main,s_gk_0y71s21,gk_ume,true,false,,,,
20260821_gk_shirube_fukui_d2,12,main,s_gk_0du6ga8,gk_rinami,true,true,,,,
20260821_gk_shirube_fukui_d2,13,main,s_gk_1vub6pw,gk_mao,true,false,,,,
20260821_gk_shirube_fukui_d2,14,main,s_gk_1cm2lpy,gk_lilja,true,false,,,,
20260821_gk_shirube_fukui_d2,15,main,s_gk_07xp7is,gk_lilja;gk_mao;gk_rinami;gk_ume,,false,,,,
20260821_gk_shirube_fukui_d2,16,encore,s_gk_1fl5h5f,gk_rinami;gk_ume;gk_lilja;gk_mao,false,false,,,,
20260821_gk_shirube_fukui_d2,17,encore,s_gk_1y5ds0c,gk_lilja;gk_mao;gk_rinami;gk_ume,false,false,,,,
20260606_gk_hif_d1,1,main,s_lovejoy,gk_sumika,true,false,,,,
20260606_gk_hif_d1,2,main,s_36ubu,gk_rinami,true,false,,,,
20260606_gk_hif_d1,3,main,s_wildestflower,gk_saki,true,false,,,,
20260606_gk_hif_d1,4,main,s_gk_15g8qio,gk_kotone,true,false,,,,
20260606_gk_hif_d1,5,main,s_gk_1y5ds0c,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,true,false,,,,
20260606_gk_hif_d1,6,main,s_gk_019m885,gk_hiro;gk_mao;gk_sumika,false,false,,,,
20260606_gk_hif_d1,7,main,s_endlessdance,gk_ume;gk_sena;gk_misuzu,false,false,,,,
20260606_gk_hif_d1,8,main,s_gk_0nbjs2t,gk_tsubame,true,false,,,,
20260606_gk_hif_d1,9,main,s_gk_1u2rfme,gk_china;gk_hiro,true,false,,,,
20260606_gk_hif_d1,10,main,s_gk_0s6u066,gk_temari;gk_saki;gk_kotone,true,false,,,,
20260606_gk_hif_d1,11,main,s_gk_1vub6pw,gk_mao,true,false,,,,
20260606_gk_hif_d1,12,main,s_gk_13ygiml,gk_sumika;gk_lilja,true,false,,,,
20260606_gk_hif_d1,13,main,s_gk_0xbmnp6,gk_china,true,false,,,,
20260606_gk_hif_d1,14,main,s_gk_1n3g31r,gk_hiro;gk_ume;gk_misuzu,false,false,,,,
20260606_gk_hif_d1,15,main,s_gk_08dqr3w,gk_sena,true,false,,,,
