tour_id,name,name_short,brand_id,year,start_date,end_date,verified,notes
t_gk_shirube,学園アイドルマスター LIVE TOUR -標-,学マス 標,gk,2026,2026-08-20,,false,
t_gk_hif,学園アイドルマスター The 2nd Period Hatsuboshi IDOL FESTIVAL,学マス HIF,gk,2026,2026-06-06,2026-06-07,false,
t_gk_hif_sel,学園アイドルマスター The 2nd Period H.I.F選抜試験,学マス HIF選抜,gk,2026,2026-05-16,2026-05-17,false,
t_gk_ongakusai,学園アイドルマスター 初星音楽祭,学マス 初星音楽祭,gk,2026,2026-02-28,2026-03-01,false,
t_iwsf2026,THE IDOLM@STER 20th Anniversary MORE RE@LITY LIVE IDOL WORLD SUPER FESTIVAL 2026,IWSF2026,crossover,2026,2026-07-24,2026-07-26,false,xRライブ
t_sc_infinity,THE IDOLM@STER SHINY COLORS ∞th LIVE iと夢,シャニ ∞th,sc,2026,2026-04-25,2026-04-26,false,
t_sc_singularity,283 Production XXXX Performance XXX= S/N-GUL4R1TY,S/N-GUL4R1TY,sc,2026,2026-04-11,2026-04-12,false,CGライブ
t_ml_13th,THE IDOLM@STER MILLION LIVE! 13thLIVE,ML 13th,ml,2026,2026-05-05,2026-05-06,false,
t_moiw2025,THE IDOLM@STER M@STERS OF IDOL WORLD 2025,MOIW2025,crossover,2025,2025-12-13,2025-12-14,false,
t_ml_12th,THE IDOLM@STER MILLION LIVE! 12thLIVE,ML 12th,ml,2025,2025-10-11,2025-10-12,false,
t_gk_undokai,学園アイドルマスター クラス対抗初星大運動会,学マス 大運動会,gk,2025,2025-09-20,2025-09-21,false,
t_765_neverend,THE IDOLM@STER 765PRO ALLSTARS LIVE ～NEVER END IDOL!!!!!!!!!!!!!～,765AS NEVER END,765as,2025,2025-08-02,2025-08-03,false,
t_hotchpotch2,THE IDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!! 2,HOTCHPOTCH 2,ml,2025,2025-03-29,2025-03-30,false,
t_cg_10th_tour,デレステ 10th ANNIVERSARY TOUR Let's AMUSEMENT!!!,デレステ10thツアー,cg,2025,2025-03-08,2025-06-29,false,
t_cg_10th_memorial,CINDERELLA GIRLS 10th MEMORIAL LIVE STARLIGHT STAGE,デレステ10th千秋楽,cg,2025,2025-09-06,2025-09-07,false,
t_ml_11th,THE IDOLM@STER MILLION LIVE! 11thLIVE,ML 11th,ml,2026,2026-03-14,2026-03-15,false,
t_765_oathone,如月千早武道館単独公演「OathONE」,OathONE,765as,2026,2026-01-24,2026-01-25,false,CGライブ
t_gk_spotlight,学園アイドルマスター The 1st Period Spotlight Star,学マス Spotlight Star,gk,2025,2025-05-24,2025-05-25,false,
t_gk_harmony,学園アイドルマスター The 1st Period Harmony Star,学マス Harmony Star,gk,2025,2025-05-31,2025-06-01,false,
t_moiw2014,THE IDOLM@STER M@STERS OF IDOL WORLD!!2014,MOIW2014,crossover,2014,2014-02-22,2014-02-23,false,
t_ml_1st,THE IDOLM@STER MILLION LIVE! 1stLIVE HAPPY☆PERFORM@NCE!!,ML 1st,ml,2014,2014-06-07,2014-06-08,false,
t_ml_2nd,THE IDOLM@STER MILLION LIVE! 2ndLIVE ENJOY H@RMONY!!,ML 2nd,ml,2015,2015-04-04,2015-04-05,false,
t_moiw2015,THE IDOLM@STER M@STERS OF IDOL WORLD!!2015,MOIW2015,crossover,2015,2015-07-18,2015-07-19,false,
t_ml_3rd,THE IDOLM@STER MILLION LIVE! 3rdLIVE TOUR BELIEVE MY DRE@M!!,ML 3rd,ml,2016,2016-01-31,2016-04-17,false,
t_ml_4th,THE IDOLM@STER MILLION LIVE! 4thLIVE TH@NK YOU for SMILE!!,ML 4th,ml,2017,2017-03-10,2017-03-12,false,
t_hotchpotch,THE IDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!!,HOTCHPOTCH,ml,2017,2017-10-07,2017-10-08,false,
t_ml_5th,THE IDOLM@STER MILLION LIVE! 5thLIVE BRAND NEW PERFORM@NCE!!!,ML 5th,ml,2018,2018-06-02,2018-06-03,false,
t_ml_6th,THE IDOLM@STER MILLION LIVE! 6thLIVE TOUR UNI-ON@IR!!!!,ML 6th,ml,2019,2019-04-27,2019-09-22,false,
t_ml_7th,THE IDOLM@STER MILLION LIVE! 7thLIVE Q@MP FLYER!!! Reburn,ML 7th,ml,2021,2021-05-22,2021-05-23,false,
t_ml_8th,THE IDOLM@STER MILLION LIVE! 8thLIVE Twelw@ve,ML 8th,ml,2022,2022-02-12,2022-02-13,false,
t_moiw2023,THE IDOLM@STER M@STERS OF IDOL WORLD!!!!! 2023,MOIW2023,765as,2023,2023-02-11,2023-02-12,false,
t_ml_10th,THE IDOLM@STER MILLION LIVE! 10thLIVE TOUR,ML 10th,ml,2023,2023-04-22,2024-02-25,false,
t_ijigen_fes,異次元フェス アイドルマスター★♥ラブライブ！歌合戦,異次元フェス,crossover,2023,2023-12-09,2023-12-10,false,
t_ml_9th,THE IDOLM@STER MILLION LIVE! 9thLIVE ChoruSp@rkle!!,ML 9th,ml,2023,2023-01-14,2023-01-15,false,
t_imas_expo,アイドルマスター M@STER EXPO,アイマスエキスポ,crossover,2024,2024-12-14,2024-12-15,false,
t_gk_debut_tour,学園アイドルマスター DEBUT LIVE 初 TOUR,学マス初TOUR,gk,2024,2024-08-10,2025-07-04,false,
t_sc_1st,THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY,シャニ 1st,sc,2019,2019-03-09,2019-03-10,false,
t_sc_summer2019,アソビストア presents THE IDOLM@STER SHINY COLORS SUMMER PARTY 2019,シャニ SUMMER 2019,sc,2019,2019-08-18,2019-08-18,false,
t_sc_2nd,THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY,シャニ 2nd,sc,2021,2021-03-20,2021-03-21,false,
t_sc_3rd,THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET,シャニ 3rd TOUR,sc,2021,2021-04-03,2021-05-30,false,
t_sc_283fes2021,THE IDOLM@STER SHINY COLORS 283フェス 2021 Happy Buffet!,283フェス 2021,sc,2021,2021-10-23,2021-10-24,false,
t_sc_xmas2021,THE IDOLM@STER SHINY COLORS Xmas Party -Silent night-,シャニ Xmas 2021,sc,2021,2021-12-18,2021-12-19,false,
t_bne_fes2nd,バンダイナムコエンターテインメントフェスティバル 2nd,バンナムフェス 2nd,crossover,2022,2022-05-14,2022-05-15,false,
t_sc_setsuna,283PRODUCTION UNIT LIVE SETSUNA BEAT,セツナビート,sc,2022,2022-08-13,2022-08-14,false,
t_sc_mugen,283PRODUCTION UNIT LIVE MUGEN BEAT,ムゲンビート,sc,2022,2022-10-22,2022-10-23,false,
