live_id,tour_id,title,day_label,date,start_time,venue_id,brand_id,event_type,performance_type,has_stream,has_lv,has_archive,setlist_status,official_url,verified,notes
20260821_gk_shirube_fukui_d2,t_gk_shirube,学園アイドルマスター LIVE TOUR -標- 福井公演,DAY2,2026-08-21,,v_fukui_phoenix,gk,solo,cast,false,false,false,confirmed,,false,
20260820_gk_shirube_fukui_d1,t_gk_shirube,学園アイドルマスター LIVE TOUR -標- 福井公演,DAY1,2026-08-20,,v_fukui_phoenix,gk,solo,cast,false,false,false,confirmed,,false,
20260726_iwsf2026_d3,t_iwsf2026,IDOL WORLD SUPER FESTIVAL 2026 -KYOUMEI-,DAY3,2026-07-26,,v_keio_arena,crossover,festival,xr,true,true,true,confirmed,,false,
20260725_iwsf2026_d2,t_iwsf2026,IDOL WORLD SUPER FESTIVAL 2026 -ZESSYOU-,DAY2,2026-07-25,,v_keio_arena,crossover,festival,xr,true,true,true,confirmed,,false,
20260724_iwsf2026_d1,t_iwsf2026,IDOL WORLD SUPER FESTIVAL 2026 -YAKUDOU-,DAY1,2026-07-24,,v_keio_arena,crossover,festival,xr,true,true,true,confirmed,,false,
20260607_gk_hif_d2,t_gk_hif,学園アイドルマスター The 2nd Period Hatsuboshi IDOL FESTIVAL,DAY2,2026-06-07,,v_yokohama_arena,gk,solo,cast,true,false,true,confirmed,,false,
20260606_gk_hif_d1,t_gk_hif,学園アイドルマスター The 2nd Period Hatsuboshi IDOL FESTIVAL,DAY1,2026-06-06,,v_yokohama_arena,gk,solo,cast,true,false,true,confirmed,,false,
20260517_gk_hifsel_d2,t_gk_hif_sel,学園アイドルマスター The 2nd Period H.I.F選抜試験,DAY2,2026-05-17,,v_makuhari,gk,solo,xr,true,false,true,confirmed,,false,
20260516_gk_hifsel_d1,t_gk_hif_sel,学園アイドルマスター The 2nd Period H.I.F選抜試験,DAY1,2026-05-16,,v_makuhari,gk,solo,xr,true,false,true,confirmed,,false,
20260506_ml13th_d2,t_ml_13th,THE IDOLM@STER MILLION LIVE! 13thLIVE Grand bal masqué,DAY2,2026-05-06,,v_ariake_arena,ml,solo,cast,true,true,true,confirmed,,false,
20260505_ml13th_d1,t_ml_13th,THE IDOLM@STER MILLION LIVE! 13thLIVE 全力援走,DAY1,2026-05-05,,v_ariake_arena,ml,solo,cast,true,true,true,confirmed,,false,
20260426_sc_infinity_d2,t_sc_infinity,THE IDOLM@STER SHINY COLORS ∞th LIVE iと夢,DAY2,2026-04-26,,v_k_arena,sc,solo,mixed,true,false,true,confirmed,,false,
20260425_sc_infinity_d1,t_sc_infinity,THE IDOLM@STER SHINY COLORS ∞th LIVE iと夢,DAY1,2026-04-25,,v_k_arena,sc,solo,mixed,true,false,true,confirmed,,false,
20260412_sc_singularity_02,t_sc_singularity,283 Production XXXX Performance,0x02,2026-04-12,,v_makuhari,sc,solo,xr,true,false,true,confirmed,,false,
20260412_sc_singularity_03,t_sc_singularity,283 Production XXXX Performance,0x03,2026-04-12,,v_makuhari,sc,solo,xr,true,false,true,confirmed,,false,
20260411_sc_singularity_01,t_sc_singularity,283 Production XXXX Performance,0x01,2026-04-11,,v_makuhari,sc,solo,xr,true,false,true,confirmed,,false,
20260315_ml11th_d2,t_ml_11th,THE IDOLM@STER MILLION LIVE! 11thLIVE DAY2 百合咲き誇るレムリア,DAY2,2026-03-15,,v_kitakyushu_messe,ml,solo,cast,true,true,true,confirmed,,false,
20260314_ml11th_d1,t_ml_11th,THE IDOLM@STER MILLION LIVE! 11thLIVE DAY1 Atelier ROCOMOTION!!,DAY1,2026-03-14,,v_kitakyushu_messe,ml,solo,cast,true,true,true,confirmed,,false,
20260301_gk_ongakusai_d2,t_gk_ongakusai,学園アイドルマスター 初星音楽祭,DAY2,2026-03-01,,v_keio_arena,gk,solo,cast,true,false,true,confirmed,,false,
20260228_gk_ongakusai_d1,t_gk_ongakusai,学園アイドルマスター 初星音楽祭,DAY1,2026-02-28,,v_keio_arena,gk,solo,cast,true,false,true,confirmed,,false,
20260125_765_oathone_d2,t_765_oathone,如月千早武道館単独公演「OathONE」,1/25,2026-01-25,,v_budokan,765as,solo,xr,true,false,true,confirmed,,false,
20260124_765_oathone_d1,t_765_oathone,如月千早武道館単独公演「OathONE」,1/24,2026-01-24,,v_budokan,765as,solo,xr,true,false,true,confirmed,,false,
20251214_moiw2025_d2,t_moiw2025,THE IDOLM@STER M@STERS OF IDOL WORLD 2025,DAY2,2025-12-14,,v_kyocera_dome,crossover,festival,cast,true,true,true,confirmed,,false,
20251213_moiw2025_d1,t_moiw2025,THE IDOLM@STER M@STERS OF IDOL WORLD 2025,DAY1,2025-12-13,,v_kyocera_dome,crossover,festival,mixed,true,true,true,confirmed,,false,
20251012_ml12th_d2,t_ml_12th,THE IDOLM@STER MILLION LIVE! 12thLIVE DAY2 Let's Sing!,DAY2,2025-10-12,,v_keio_arena,ml,solo,cast,true,true,true,confirmed,,false,
20251011_ml12th_d1,t_ml_12th,THE IDOLM@STER MILLION LIVE! 12thLIVE DAY1 ありのままに。,DAY1,2025-10-11,,v_keio_arena,ml,solo,cast,true,true,true,confirmed,,false,
20250921_gk_undokai_d2,t_gk_undokai,学園アイドルマスター クラス対抗初星大運動会,DAY2,2025-09-21,,v_yoyogi_1,gk,event,cast,true,false,true,confirmed,,false,
20250920_gk_undokai_d1,t_gk_undokai,学園アイドルマスター クラス対抗初星大運動会,DAY1,2025-09-20,,v_yoyogi_1,gk,event,cast,true,false,true,confirmed,,false,
20250907_cg10th_memorial_d2,t_cg_10th_memorial,CINDERELLA GIRLS 10th MEMORIAL LIVE STARLIGHT STAGE,DAY2,2025-09-07,,v_k_arena,cg,solo,cast,true,true,true,confirmed,,false,
20250906_cg10th_memorial_d1,t_cg_10th_memorial,CINDERELLA GIRLS 10th MEMORIAL LIVE STARLIGHT STAGE,DAY1,2025-09-06,,v_k_arena,cg,solo,cast,true,true,true,confirmed,,false,
20250803_765_neverend_d2,t_765_neverend,765PRO ALLSTARS LIVE ～NEVER END IDOL!!!!!!!!!!!!!～,DAY2,2025-08-03,,v_k_arena,765as,solo,cast,true,true,true,confirmed,,false,
20250802_765_neverend_d1,t_765_neverend,765PRO ALLSTARS LIVE ～NEVER END IDOL!!!!!!!!!!!!!～,DAY1,2025-08-02,,v_k_arena,765as,solo,cast,true,true,true,confirmed,,false,
20250704_gk_uijin_shibuya_add_night,t_gk_debut_tour,学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 東京追加公演 夜の部,初陣・東京追加夜,2025-07-04,,v_shinjuku_reny,gk,solo,cast,false,false,false,confirmed,,false,
20250704_gk_uijin_shibuya_add_noon,t_gk_debut_tour,学園アイドルマスター DEBUT LIVE 初 TOUR -初陣公演- 東京追加公演 昼の部,初陣・東京追加昼,2025-07-04,,v_shinjuku_reny,gk,solo,cast,false,false,false,confirmed,,false,
20250629_cg10th_fukuoka_d2,t_cg_10th_tour,デレステ 10th ANNIVERSARY TOUR Let's AMUSEMENT!!! 福岡公演,DAY2,2025-06-29,,v_marinemesse,cg,solo,cast,true,false,true,confirmed,,false,
