venue_id,name,name_short,city,prefecture,country,capacity,scale,is_outdoor,alias,verified,notes
v_tokyo_dome,東京ドーム,東京ドーム,文京区,東京都,JP,55000,dome,false,ドーム,false,
v_kyocera_dome,京セラドーム大阪,京セラD,大阪市,大阪府,JP,55000,dome,false,大阪ドーム,false,
v_belluna_dome,ベルーナドーム,ベルーナD,所沢市,埼玉県,JP,33000,dome,true,西武ドーム,false,
v_saitama_ssa,さいたまスーパーアリーナ,SSA,さいたま市,埼玉県,JP,37000,ssa,false,スパアリ;さいたまSA,false,
v_yokohama_arena,横浜アリーナ,横アリ,横浜市,神奈川県,JP,17000,arena_l,false,,false,
v_makuhari,幕張メッセ イベントホール,幕張メッセ,千葉市,千葉県,JP,9000,arena_s,false,メッセ,false,
v_pia_arena,ぴあアリーナMM,ぴあアリーナ,横浜市,神奈川県,JP,12000,arena_l,false,,false,
v_ariake_arena,有明アリーナ,有明,江東区,東京都,JP,15000,arena_l,false,,false,
v_musashino,武蔵野の森総合スポーツプラザ,武蔵野の森,調布市,東京都,JP,10000,arena_l,false,武蔵の森;musafo,false,
v_kobe_world,神戸ワールド記念ホール,神戸ワールド,神戸市,兵庫県,JP,8000,arena_s,false,,false,
v_nippon_gaishi,日本ガイシホール,ガイシ,名古屋市,愛知県,JP,10000,arena_l,false,レインボーホール,false,
v_pacifico,パシフィコ横浜 国立大ホール,パシフィコ,横浜市,神奈川県,JP,5000,hall,false,,false,
v_nakano_sunplaza,中野サンプラザホール,中野サンプラザ,中野区,東京都,JP,2200,hall,false,,false,
v_kokusai_forum,東京国際フォーラム ホールA,国際フォーラム,千代田区,東京都,JP,5000,hall,false,,false,
v_zepp_tokyo,Zepp DiverCity(TOKYO),Zepp DiverCity,江東区,東京都,JP,2500,livehouse,false,Zepp,false,
v_shanghai,梅賽徳斯奔馳文化中心(上海),上海メルセデス,上海,,CN,18000,overseas,false,,false,海外公演
v_taipei,台北流行音楽中心,台北ミュージックセンター,台北,,TW,6000,overseas,false,,false,海外公演
v_online,オンライン配信,配信,,,,,online,false,無観客;配信のみ,true,配信専用公演用の仮想会場
v_fukui_phoenix,フェニックス・プラザ エルピス 大ホール,フェニックス・プラザ,福井市,福井県,JP,1500,hall,false,エルピス,false,
v_keio_arena,京王アリーナTOKYO,京王アリーナ,多摩市,東京都,JP,10000,arena_l,false,,false,
v_k_arena,Kアリーナ横浜,Kアリーナ,横浜市,神奈川県,JP,20000,ssa,false,,false,
v_yoyogi_1,国立代々木競技場 第一体育館,代々木第一,渋谷区,東京都,JP,13000,arena_l,false,代々木,false,
v_osakajo_hall,大阪城ホール,大阪城ホール,大阪市,大阪府,JP,16000,arena_l,false,城ホール,false,
v_okinawa_arena,沖縄サントリーアリーナ,沖縄アリーナ,沖縄市,沖縄県,JP,10000,arena_l,false,,false,
v_marinemesse,マリンメッセ福岡,マリンメッセ,福岡市,福岡県,JP,15000,arena_l,false,,false,
v_kitakyushu_messe,北九州メッセ(西日本総合展示場 新館),北九州メッセ,北九州市,福岡県,JP,5000,arena_s,false,西日本総合展示場,false,
v_budokan,日本武道館,武道館,千代田区,東京都,JP,14000,arena_l,false,,false,
v_shinjuku_reny,新宿ReNY,ReNY,新宿区,東京都,JP,800,livehouse,false,,false,
v_tachikawa_garden,立川ステージガーデン,立川ガーデン,立川市,東京都,JP,3000,hall,false,,false,
v_nagoya_century,名古屋国際会議場 センチュリーホール,センチュリーホール,名古屋市,愛知県,JP,2400,hall,false,,false,
v_sendai_xebio,ゼビオアリーナ仙台,ゼビオアリーナ,仙台市,宮城県,JP,7500,arena_s,false,,false,
v_osaka_orix,オリックス劇場,オリックス劇場,大阪市,大阪府,JP,2700,hall,false,大阪厚生年金会館,false,
v_kitakyushu_soleil,アルモニーサンク 北九州ソレイユホール,北九州ソレイユ,北九州市,福岡県,JP,2000,hall,false,,false,
v_fujikyu_conifer,富士急ハイランド コニファーフォレスト,コニファーフォレスト,富士吉田市,山梨県,JP,15000,arena_l,false,,false,
v_portmesse_nagoya,ポートメッセなごや 新第1展示館,ポートメッセなごや,名古屋市,愛知県,JP,6000,arena_s,false,,false,
v_makuhari_hall3,幕張メッセ 国際展示場 展示ホール3,幕張メッセ ホール3,千葉市,千葉県,JP,5000,arena_s,false,エキスポ会場,false,
v_club_quattro_nagoya,名古屋クラブクアトロ,クラブクアトロ名古屋,名古屋市,愛知県,JP,700,livehouse,false,,false,
v_club_quattro_umeda,梅田クラブクアトロ,クラブクアトロ梅田,大阪市,大阪府,JP,700,livehouse,false,,false,
v_club_quattro_shibuya,渋谷クラブクアトロ,クラブクアトロ渋谷,渋谷区,東京都,JP,700,livehouse,false,,false,
v_club_quattro_hiroshima,広島クラブクアトロ,クラブクアトロ広島,広島市,広島県,JP,500,livehouse,false,,false,

v_maihama_amphitheater,舞浜アンフィシアター,舞浜アンフィ,浦安市,千葉県,JP,2000,hall,false,アンフィシアター,false,
v_pacifico_national,パシフィコ横浜 国立大ホール,パシフィコ,横浜市,神奈川県,JP,5000,hall,false,パシフィコ横浜,false,
v_makuhari_hall13,幕張メッセ 国際展示場 展示ホール1〜3,幕張メッセ H1-3,千葉市,千葉県,JP,15000,arena_l,false,幕張メッセ展示ホール,false,
v_kokugikan,両国国技館,国技館,墨田区,東京都,JP,11000,arena_l,false,両国,false,
v_zozo,ZOZOマリンスタジアム,ZOZOマリン,千葉市,千葉県,JP,30000,ssa,true,マリン,false,
v_tokyo_garden,東京ガーデンシアター,TGT,江東区,東京都,JP,8000,arena_s,false,ガーデンシアター,false,
v_nishi_japan_hall,西日本総合展示場 新館ABC,西日本展示場,北九州市,福岡県,JP,10000,arena_l,false,西日本展示場,false,
v_ishikawa_pref,石川県産業展示館 4号館,石川県産業展示館,金沢市,石川県,JP,5000,arena_s,false,石川産業展示館,false,
v_sekisui_miyagi,セキスイハイムスーパーアリーナ,セキスイハイムSA,富谷市,宮城県,JP,7000,arena_s,false,宮城SA;グランディ21,false,
v_ecopa,エコパアリーナ,エコパ,袋井市,静岡県,JP,15000,arena_l,false,,false,
v_yamada_green,ヤマダグリーンドーム前橋,グリーンドーム前橋,前橋市,群馬県,JP,15000,arena_l,false,グリーンドーム;前橋,false,
v_osaka_granvia,グランキューブ大阪(大阪国際会議場),グランキューブ大阪,大阪市,大阪府,JP,2700,hall,false,大阪国際会議場,false,
v_makuhari_hall911,幕張メッセ 国際展示場 展示ホール9〜11,幕張 H9-11,千葉市,千葉県,JP,20000,ssa,false,幕張展示ホール9-11,false,
v_metlife_dome,メットライフドーム(西武プリンスドーム),メットライフD,所沢市,埼玉県,JP,33000,dome,true,西武ドーム;ベルーナドーム旧名,false,
v_nagoya_dome,ナゴヤドーム,ナゴヤD,名古屋市,愛知県,JP,36000,dome,false,Dナゴヤ,false,
v_aichi_sky_expo,愛知県国際展示場 ホールA,Aichi Sky Expo,常滑市,愛知県,JP,10000,arena_l,false,スカイエクスポ,false,
v_yamagin_hall,やまぎん県民ホール,やまぎん県民H,山形市,山形県,JP,1900,hall,false,,false,
v_tosai_hall,トーサイクラシックホール岩手,トーサイH,盛岡市,岩手県,JP,1800,hall,false,,false,
v_zepp_osaka,Zepp Osaka Bayside,Zepp大阪,大阪市,大阪府,JP,2500,livehouse,false,,false,
v_zepp_fukuoka,Zepp Fukuoka,Zepp福岡,福岡市,福岡県,JP,2500,livehouse,false,,false,
v_honda_mori,本多の森北電ホール,本多の森H,金沢市,石川県,JP,1500,hall,false,,false,
v_studio_coast,新木場STUDIO COAST,スタジオコースト,江東区,東京都,JP,2500,livehouse,false,,false,
v_zepp_tokyo_old,ZEPP TOKYO,ZEPP TOKYO,江東区,東京都,JP,2709,livehouse,false,ZeppTokyo,false,
v_shibuya_oeast,Shibuya O-EAST,O-EAST,渋谷区,東京都,JP,1300,livehouse,false,,false,
v_bigcat_osaka,心斎橋BIG CAT,BIG CAT,大阪市,大阪府,JP,700,livehouse,false,,false,
v_pacifico_yokohama,パシフィコ横浜国立大ホール,パシフィコ横浜,横浜市,神奈川県,JP,5002,hall,false,,false,
v_diamond_hall,Club Diamond Hall,ダイヤモンドホール,名古屋市,愛知県,JP,1500,livehouse,false,,false,
v_fukuoka_logos,福岡LOGOS,LOGOS,福岡市,福岡県,JP,700,livehouse,false,,false,
v_jcb_hall,TOKYO DOME CITY HALL,TDCホール,文京区,東京都,JP,3700,hall,false,JCBホール,false,
v_namba_hatch,なんばHatch,なんばHatch,大阪市,大阪府,JP,2000,livehouse,false,,false,
v_zepp_sapporo,ZEPP SAPPORO,ZEPP札幌,札幌市,北海道,JP,2700,livehouse,false,,false,
